title,link,score,author,age
GitLost: We Tricked GitHub's AI Agent into Leaking Private Repos,https://noma.security/blog/gitlost-how-we-tricked-githubs-ai-agent-into-leaking-private-repos/,97 points,ColinEberhardt,2 hours ago
"How to Build a Minimal ZFS NAS Without Synology, QNAP, TrueNAS (2024)",https://neil.computer/notes/how-to-setup-minimal-zfs-nas-without-truenas/,163 points,4diii,4 hours ago
Tenda firmware (multiple versions) contains hidden authentication backdoor,https://kb.cert.org/vuls/id/213560,181 points,miniBill,8 hours ago
Copy That Floppy – Cambridge guide for preserving data from fragile floppy disks,https://www.digipres.org/the-floppy-guide/,58 points,whiteblossom,4 hours ago
Structure and Interpretation of Computer Programs Video Lectures (1986),https://ocw.mit.edu/courses/6-001-structure-and-interpretation-of-computer-programs-spring-2005/video_galleries/video-lectures/,149 points,gjvc,8 hours ago
GAO: DOE Is Prematurely Excluding Less Expensive Options for Nuclear Cleanup,https://www.gao.gov/products/gao-26-108193,192 points,Jimmc414,9 hours ago
Canada's only watchmaking school still ticking after 80 years,https://www.cbc.ca/news/canada/montreal/canada-s-only-watchmaking-school-9.7254211,128 points,throw0101a,8 hours ago
Chat Control 1.0 and 2.0 Explained,https://fightchatcontrol.eu/chat-control-overview,614 points,gasull,17 hours ago
"Local, CPU-Friendly, High-Quality TTS (Text-to-Speech) with Kokoro",https://ariya.io/2026/03/local-cpu-friendly-high-quality-tts-text-to-speech-with-kokoro/,392 points,speckx,13 hours ago
"GPT-5.6 Sol, along with Terra and Luna, will launch publicly this Thursday",https://twitter.com/OpenAI/status/2074704958419792299,165 points,jfrbfbreudh,4 hours ago
LineageOS Statistics,https://stats.lineageos.org,66 points,pentagrama,6 hours ago
"The difference between ""today's task"" and ""accretive work""",https://pluralistic.net/2026/07/02/canonization/,35 points,hn_acker,4 hours ago
"30papers.com – Ilya's 30 essential ML papers, in a beginner friendly format",https://30papers.com/,497 points,notmcrowley,16 hours ago
"Show HN: Davit, a Apple Containers UI",https://davit.app,292 points,xinit,13 hours ago
Herdr: One terminal to rule them all,https://herdr.dev/,262 points,handfuloflight,13 hours ago
Home made GPU escalated quickly [video],https://www.youtube.com/watch?v=qMR3IXF2sWw,16 points,erichocean,3 hours ago
Automate Excel with Python: From manual grind to one-click workflow,https://nostarch.com/automate-excel-with-python,5 points,teleforce,2 hours ago
Show HN: Neil the Seal Game,https://neiltheseal.app/,53 points,dalemhurley,5 hours ago
"Show HN: Rowboat – Open-source, local-first alternative to Claude Desktop",https://github.com/rowboatlabs/rowboat,153 points,segmenta,13 hours ago
l: A new runtime for k and q,https://lv1.sh/,139 points,skruger,14 hours ago
Show HN: Chiptune Radio,https://chiptune-radio.alephvoid.com/,46 points,bootbloopers,7 hours ago
IEEE Rolls Out Large Language Models Training Course,https://spectrum.ieee.org/large-language-models-ieee-course,68 points,JeanKage,11 hours ago
Scheme Is a Hoot,https://gracefulliberty.com/notes/scheme-is-a-hoot/,68 points,signa11,9 hours ago
We're extending access to Fable 5 on all paid plans through July 12,https://twitter.com/claudeai/status/2074548242386178258,176 points,minimaxir,12 hours ago
Every new car sold in the European Union must include a driver monitoring camera,https://allaboutcookies.org/eu-mandatory-distracted-driver-system,596 points,nickslaughter02,11 hours ago
Why skilled workers come to Germany and then leave again,https://www.dw.com/en/germany-migrants-skilled-workers-integration-labor-market-bureaucracy-language-housing/a-77853162,246 points,theanonymousone,21 hours ago
Jim's TrueType QR Code Font,https://github.com/jimparis/qr-font,171 points,arantius,15 hours ago
Why we built yet another Postgres connection pooler,https://pgdog.dev/blog/why-yet-another-connection-pooler,176 points,levkk,16 hours ago
Notes on Software Quality,https://anthonyhobday.com/blog/20260410,120 points,speckx,13 hours ago
"StreetComplete: Fixing OpenStreetMap, one tiny quest at a time",https://streetcomplete.app/,749 points,kls0e,19 hours ago
